# Venerable Master Hsing Yun's One-Stroke Calligraphy
# Translation by: Ven. Miao Guang 妙光
# Source: FoguangPedia. Copyright Fo Guang Shan, reproduced with permission
一二三四	One, Two, Three, Four
淡泊養心，浩然正氣	Detachment Fosters the Mind
Awe-inspiring Righteousness
淡然	Remain Detached
淡然也	Remain Detached
淡然有道	Simplicity Has Its Ways
淡然自在	Detached and At Ease
淨	Pure
淨土人間	Pureland in the World
淨土世界	Pureland
淨土為家	The Pureland is Your Home
淨化身心	Purify the Body and Mind
淨心人	One with a Purified Mind
淨心明道	Pure Mind and Clarity of the Path
淨月明心	Pure Moon, Clear Mind
淨水人生	A Life Like Pure Water
淨水因緣	Causes and Conditions of Pure Water
淨因妙果	Pure Cause and Wondrous Effect
淨因善果	Pure Cause Brings Good Effect
淨如水月	As Pure As Moon in the Water
淨如明月	Pure as the Bright Moon
淨如秋月	Pure as the Autumn Moon
淨念	Pure Thoughts
淨念心好	Pure Thoughts Nurture a Kind Heart
淨念生活	Live Life With Pure Thoughts
淨念如水	Thoughts Pure as Water
淨念行善	Purify the Mind and Practice Goodness
淨念法水	Mind Purifying Dharma Nectar
淨念養心	Nurture the Mind With Pure Thoughts
淨念彌陀	Purely Mindful of Amitabha
淨念禪心	Pure Thoughts with A Chan Mind
淨明	Pure and Clear
淨空秋月	The Autumn Moon in the Clear Sky
淨信	Pure Faith
淨信因果	Pure Faith in Cause and Effect
淨美之家	Home of Purity and Beauty
淨善因緣	Pure and Good Causes and Conditions
淨智	Pure Wisdom
淨智人生	A Life of Pure Wisdom
淨智妙慧	Purified Knowledge is Wondrous Wisdom
淨華	The Flower of Purity
淨蓮心生	A Pure Lotus Heart Arises
深耕	Deep Cultivation
深耕致富	Earnest Cultivation Yields Fruitful Harvests
清白人生	A Purified Life
清流活水	Pure and Free-Flowing Water
清風明月	Cool Breeze and Bright Moon
清風高誼	Clear Breeze and High Nobility
清涼	Coolness
清涼心月	Pure and Cool Mind
清涼月	The Pure and Cool Moon
清涼世界	World of Coolness
清涼地	The Ground of Purity and Coolness
清涼自在	Remain Calm and at Perfect Ease
清涼明月	Cool and Bright Moon
清涼界	State of Purity and Coolness
清涼秋月	Like the Pure and Cool Autumn Moon
清淨	Purity
清淨心	Pure Mind
清淨真如海	Pure Tatha like the Ocean
清淨無為	Purity and Non-Doing
理法為本	Principle and the Dharma Are the Basis
眼內有塵三界小	Eyes With Dust See the Three Realms As Small
眾人如我	Treat Others as You Want to Be Treated
眾中有我	I am Among the Multitude
眾志成城	Unity is Strength
眾緣成就	Accomplishment By the Help of Many
眾緣成就	Accomplishment by the Help of Many
眾緣和諧	Harmonious Conditions For All
祥和歡喜	Harmony and Joy
細水長流	Little By Little, Without a Letup
終生學習	A Lifetime of Learning
莊嚴	Dignity
莊嚴本性	Dignified Original Nature
莊嚴具足	Complete With Dignity
處世平和	Keep Harmonious Thoughts For the World
處世和敬	Respect and Harmony For the World
處世要寬嚴得宜	Face the World by Being Appropriately Lenient or Strict According to Situations
處事要方圓自在	Be Flexible in Dealing With the World
頂天立地	Stand Tall Between Heaven and Earth
黄金人生	Prime Life
創造品牌	Create Your Brand
博愛	Unconditional Love
善心吉地	A Kind Heart Found With Auspiciousness
善心妙果	A Good Heart Brings Wonderful Effects
善心美意	A Kind Heart and Beautiful Intentions
善心福來	A Good Heart Brings Good Fortune
善巧方便	Skillful and Expedient Means
善用時間	Use Time Wisely
善因好果	Good Causes Bring Good Effects
善因好緣	Virtous Causes and Good Conditions
善因妙果	Good Causes Bring Wondrous Effects
善因植福	Plant Good Causes and Accumulate Blessings
善如時雨	Let Good Deeds Come Like the Timely Rain
善思	Think Wisely
善思量	Good Thinking
善根增長	Enhance the Root of Wholesomeness
善慈覺悟	Pure Compassion and Enlightenment
善解佛意	Understand the Buddha’s Intentions Correctly
善緣	Good Affinity
善緣心好	A Good Heart Brings Virtuous Conditions
善緣好運	Good Affinity Brings Good Luck
善緣好運，安樂富有	Good Affinity Brings Good Luck; Safety, Joy, and Wealth
善緣好運，功德福海	Good Affinity Brings Good Luck, Ocean of Merits
善緣成就	All is Made Possible by Virtuous Conditions
善緣來	Virtuous Conditions Have Come
善護身心	Safeguard the Body and Mind
善護念	Safeguard the Mind
善護真心	Safeguard the True Mind
善觀因緣	Observe Causes and Conditions Well
善觀因緣，遠見天下	Observe Causes and Conditions Well, Set Great Foresight on the World
喜心平等	A Heart of Joy and Equality
喜在心頭	A Delightful Heart
喜悅	Joy
喜捨	Equanimity
喜捨有得	Joyous Generosity Brings Gains
喜捨有福	Joyous Generosity Brings Fortunes
喜慶人生	Joyous Celebration of Life
喜慶人間	Joyous Celebration of Humanity
喜樂天地	Joy in Heaven and Earth
喫茶去	Go Drink Tea
富有三千	A Wealth as Immense as the Three Thousand Realms
富有大千	Wealth as Great as the Universe
富足人生	A Plentiful Life
富者吉祥	May the Wealthy be Auspicious
富貴圓融	Fortune Brings Harmony
尊重包容	Respect and Tolerance
悲智雙運	Practice Compassion and Wisdom Simultaneously
悲智雙運，人我和平	Practice Compassion and Wisdom Simultaneously Harmonious Relations
悲智願行	Compassion, Wisdom, Vow, and Practice
悲願	Compassionate Vow
惠施一切	Generously Give Everything
惠風和暢	Pleasant and Harmonious
惠道中流	Be the Pillar of Society Under the Guidance of Wisdom and the Middle Way
提放自在	Pick Up and Let Go With Perfect Ease
提放自如	Pick Up and Let Go in Perfect Ease
普世平和	Universal Peace and Harmony
普世和平	Universal Harmony and Peace
普利人天	Universally Benefit Humans and Heaven
普門示現	Manifestation of the Universal Gate
普慈一切	Universal Compassion
智山福海	Mountains of Wisdom and Oceans of Blessings
智仁勇	Wisdom, Benevolence and Courage
智月常园	The Moon of Wisdom is Always Full
智目行足	Wisdom Is the Eyes; Practice Is the Feet
智如淨水	Wisdom is Like Clear Water
智者不惑	The Wise is Free from Perplexities
智者無憂	The Wise is Free From Worries
智度海	Ocean of Perfect Wisdom
智海	The Ocean of Wisdom
智慧	Wisdom
智慧如海	An Ocean of Wisdom
智慧明燈	Light of Wisdom
智慧法水	The Stream of Dharma Wisdom
智慧創新	Innovative Wisdom
智慧創新，與時俱進	Innovative Wisdom, Keep Up With the Times
智慧慈悲	Wisdom and Compassion
最上三寶	Supreme Triple Gem
棲心齋	The Mind's Dwelling
渾然天成	Let Nature Take its Course
無一不好	Nothing is Bad
無上士	The Unsurpassed One
無上正等正覺	Anuttara-samyak-sambodhi
無上正覺	Supreme and Perfect Awakening
無上莊嚴	Supreme Dignity
無上菩提	Supreme Bodhi
無中生有	From Emptiness Arises Existence
無分別心	A Mind Free of Discrimination
無分別智	Undiscriminating Wisdom
無心	No Mind
無心人	A Person with No Mind
無心之心	A Mind of No-Mind
無心出岫	Only a Cloud Over the Peak
無心無念	No Mind, No Thought
無生忍	Non-arising Tolerance
無生法忍	Tolerance of Non-Arising Dharmas
無妄	Without Delusions
無有對待	There are No Special Treatments
無住	Non-Abiding
無住	Non-Abiding
無住生心	Non-Abiding Mind
無住而住	Abiding in Non-Abidance
無我	No Self
無我自在	Selfless and Carefree
無我空慧	Wisdom in the Emptiness of No-Self
無我慈悲	Selfless Compassion
無求	No Desires
無求人生	A Life Without Desire
無求品高	A Desireless Mind is also a Noble Mind
無求增福	Greater Fortune Comes With No Desire
無私	Selflessness
無私無執	Impartial and Detached
無言	Without Speech
無事心寬	Without Troubles, the Mind is Broad
無事為貴	Peace is Priceless
無念	No Thought
無門	Gateless
無門之門	The Gateless Gate
無門關	The Gateless Gate
無怨	No Resentment
無怨無悔	No Regret or Resentment
無染	Untainted
無為之美	The Beauty of No-Action
無畏	Fearlessness
無相之相	Characteristic of Formlessness
無悔	No Regrets
無得	No Attainment
無欲則剛	The Strong Have No Desires
無惱	Without Defilement
無著	Unattached
無量光華	Infinite Light
無量壽	An Infinite Life
無量壽佛	Amitayus Buddha
無愧	With a Clear Conscience
無煩無惱	Without Defilement or Worries
無過為美	The Beauty of Faultlessness
無漏	Undefiled
無盡燈	Endless Light
無盡藏	Boundless Treasure
無瞋	No Hatred
無諍	No Disputes
無證而悟	Awakening Without Attainment
無邊	Boundless
登高自明	Climb High to Express One’s Aspirations
登高致遠	Climb High to Reach Far
登高望遠	Ascend High and See Far
登清涼地，結歡喜緣	Ascend to the Refreshing Ground, Establish Joyous Affinity
發心	Resolve
發心立志	Resolve and Aspiration
發心吉祥	Auspicious Aspiration
發心向前	Resolve to Move Forward
發心成就	Resolve Leads to Success
發心有力	Resolve Comes Strength
發心行佛	Aspire to Practice the Buddha's Way
發心是福	To Resolve is a Merit
發心喜悅	Resolve in Joy
發心發展	Resolve and Develop
發心與發展	To Resolve and to Develop
發菩提心	Initiate the Bodhi Mind
紫氣東來	Auspicious Purple Comes East
給人方便	Give Others Convenience
給人因緣	Give Others Causes and Conditions
給人希望	Give Others Hope
給人信心	Give Others Faith
給人接受	Be Accepted by Others
給人歡喜	Give Others Joy
菩提心	Bodhi Mind
菩提果	Bodhi Fruit
菩提花果	The Flower and Fruit of Bodhi Wisdom
菩提花開	Bodhi Flower Blossoms
菩提真心	The True Bodhi Mind
菩提道心	A Bodhi Spiritual Mind
菩慈仁術	Bodhisattva's Compassion, Benevolent Skills
菩薩心 青年力	Bodhisattva Heart, and Youthful Strength
菩薩畏因，眾生畏果	Bodhisattvas Fear the Cause, Sentient Beings Fear the Effect
菩薩氣度	The Bodhisattva Spirit
菩薩情懷	The Heart of a Bodhisattva
菩薩道念	A Bodhisattva’s Aspiration
菩薩與義工	Bodhisattva and Volunteer
菩薩學處	A Bodhisattva’s Learning
萍水自在	As Free As Drifting Duckweed
虛空不空	Vast Emptiness is Non-Empty
虛懷若谷	Have a Mind as Open as a Valley
視人如己	Regard Others as You Regard Yourself
貴氣	Nobility
超然物外	A Mind Beyond the Material World
進取厚道	Forge Ahead with Honesty
量大福大	The Greater the Mind the Greater the Fortune
量如虛空	As Magnanimous as the Great Void
量容十方	Encompass the Ten Directions
開心為樂	An Open Mind Brings Happiness
開拓未來	Expand the Future
開發心田	Open and Develop the Field of the Mind
陽光語言	Sunshine Language
集體創作	Collaborative Effort
雲山月明	Cloud and Mountain, Bright as the Moon
雲山法水	Cloud, Mountain, and Dharma Water
雲山法味	Cloud, Mountain, and Dharma Water
雲山空谷	Cloud, Mountain and Empty Valley
雲山氣度	A Bearing as Majestic as the Clouds and Mountains
雲山氣度
梅蘭風華	A Bearing as Majestic as the Clouds and Mountains Elegance of the Plum and Orchid
雲水	Cloud and Water
雲水人	Live Like Cloud and Water
雲水人生	A Life Like Cloud and Water
雲水三千	Cloud and Water
雲水三千，我心安然	Travel Like Cloud and Water
My Mind is Peaceful and at Ease
雲水三千，行道天下	Cloud and Water Practice the Way in the World
雲水三千，道行天下	Cloud and Water The Way Extends Across the World
雲水大千	Cloud and Water in the Universe
雲水天下	Travel Like the Clouds and Water
雲水日月	Days and Nights Like Cloud and Water
雲水日月，松柏禪心	Days and Nights Like Cloud and Water Pine and Cypress, the Chan Mind
雲水自在	At Ease Like Cloud and Water
雲水明月	Travel Freely Like the Bright Moon
雲水法界	Cloud and Water in the Dharma Realm
雲水禪心	Cloud and Water
雲來三千	A Great Gathering of Clouds
雲飛氣揚	Soar Far and High Like the Clouds
雲海	Cloud Ocean
雲淡風清	Like Wind that Clears the Clouds
雲淡風輕	Cloud is light and wind is soft
雲湖覺海	Lake of Clouds and Ocean of Awakening
雲無心出岫	Clouds Emerge from the Mountains Casually
雲開月現	When Clouds Disperse, the Moon Reveals
雲開月現，水到渠成	When Clouds Disperse, the Moon Reveals 
When Water Flows, a Channel is Formed
雲開見日	The Sun Is Seen Through Dispersed Clouds
雲開見月	The Cloud Disperses and the Moon Appears
雲霞人生	A Life like Rosy Clouds
順其自然	Let Nature Take Its Course
勤能補拙	A Lack of Talent Can Be Made Up By Hard Work
圓拙	Perfection in Disguise of Slow-wittedness
圓滿	Perfection
圓滿成就	Perfect Accomplishment
圓滿自在	Wholeness and Freedom
寛厚處事	Be Kind When Dealing With Matters
想開了	I Get It Now
想開真好	It is Wonderful to Open Your Mind
想當然耳	Everything As It Should Be
愚拙	Wisdom Disguised as Slow-wittedness
愛在人間，前途無限	Love is in the World, There is Hope for the Future
愛在人間，前途無限	Love is in the World, There is Hope for the Future
愛就是惜	To Love is to Cherish
愛敬	Love and Respect
愛敬和諧	Love, Respect and Harmony
感恩心	Heart of Gratitude
感恩為富	Gratitude is True Wealth
感恩富有	Gratitude is Wealth
感恩富者	The Grateful One is the Wealthy One
感動	Touched
感動合十	Palms Joined with a Touched Heart
感動最美	Beauty in Being Moved
愧然	Shamefulness
慈心仁德	Be Compassionate, Benevolent and Virtuous
慈心厚道	Be Compassionate, Honest, and Kind
慈心活水	A Compassionate Mind is Like Flowing Water
慈心美事	A Compassionate Mind Brings Wonderful Things
慈心淨念	A Compassionate Mind with Pure Thoughts
慈心悲願	Loving Heart and Compassionate Vow
慈心智海	Mind of Compassion and Ocean of Wisdom
慈心無量	Boundless Compassion
慈心福海	A Compassionate Mind Lives in an Ocean of Blessings
慈心緣	An Affinity of Compassion
慈心養德	A Compassionate Mind Fosters Virtue
慈心應世	Face the World with a Compassionate Heart
慈在智中	Compassion is in Wisdom
慈舟	Ferry of Compassion
慈行天下	Compassion Extends Across the World
慈孝	Compassion and Filial Piety
慈孝人	Compassionate and Dutiful One
慈孝傳家	A Family Tradition of Compassion and Filial Piety
慈忍天下	Face the World with Compassion and Patience
慈忍安邦	Compassion and Tolerance Will Bring Peace to the Nation
慈忍安家	Compassion and Tolerance Make a Home Peaceful
慈忍有力	Kindness and Patience Are True Strength
慈忍厚道	Have Compassion, Patience, and Honesty
慈忍為力	Compassion and Tolerance are Strength
慈忍無畏	Compassion and Tolerance Bring Fearlessness
慈忍興家	Compassion and Tolerance Brings Prosperity to the Family
慈忍應世	Face the World With Compassion and Patience
慈和淨德	Compassion and Harmony Are A Pure Virtue
慈雨香風	The Rain of Compassion and Wind of Fragrance
慈勇天下	A World Full of Kindness and Courage
慈勇應世	Face the World with Kindness and Courage
慈風法雨	The Breeze of Compassion and Rain of Dharma
慈風活水	The Breeze of Compassion and Free-Flowing Water
慈風萬里	The Breeze of Compassion Travels Innumerable Distances
慈香十方	The Omnipresent Fragrance of Compassion
慈航普渡	A Ferry of Compassion
慈眼視眾生	Regard Sentient Beings With Compassion
慈善傳家	Compassion as Family Tradition
慈悲	Compassion
慈悲一切	Compassion for All
慈悲人	A Compassionate One
慈悲十方	Compassion for the Ten Directions
慈悲天下	Compassion for All
慈悲心香	A Fragrant and Compassionate Mind
慈悲包容	Compassion and Tolerance
慈悲平等	Compassion is Equal
慈悲吉祥	Compassion and Auspiciousness
慈悲如華	Compassion Like a Flower
慈悲有德	Compassion and Morality
慈悲自在	Compassionate and Carefree
慈悲和敬	Compassion, Harmony, and Respect
慈悲芬芳	The Fragrance of Compassion
慈悲芳香	The Fragrance of Compassion
慈悲厚道	Compassion, Honesty and Kindness
慈悲為心	Keep Compassion in Mind
慈悲為本	Compassion as  Principle
慈悲為用	Compassion Is the Way
慈悲喜捨	Loving Kindness, Compassion, Joy, and Equanimity
慈悲智勇	Loving Kindness, Compassion, Wisdom, and Courage
慈悲無畏	The Compassionate is Fearless
慈悲無敵	Compassion Sees No Enemies
慈悲福德	The Merit of Compassion
慈悲養心	Compassion Fosters the Mind
慈悲應世	Face the World with Compassion
慈愛	Compassion and Love
慈義人生	A Life Lived With Compassion and Righteousness
慈德天下	Compassion and Virtue for All
慈德芬芳	The Fragrance of Compassion and Virtue
慈德流芳	Compassion and Virtue Flows Far
慈德家風	A Family Legacy of Compassion and Virtue
慎言	Cautious Speech
慎獨	Cautious When Alone
敬人如己	Respect Others as You Respect Yourself
敬天畏因	Fear Cause and Effect
敬天愛人	Respect Heaven and Love Humanity
敬信入門	Respect and Faith is the Way to Enter the Gate
敬畏含一	Respect and Awe in One
敬畏含容	Reverence and Tolerance
業精於勤	Excellence in Work is Possible Only with Diligence
歲月平安	Peaceful Days
歲月吉祥	Auspicious Years
歲月如春	Live Everyday Like Spring Time
歲月芳香	Fragrance of Life's Years
歲寒松柏	Adversity Reveals Fortitude and Uprightness
源如意	Unending Stream of Fulfilled Wishes
源流如一	Origin and Development are One
源頭活水	The Source of Flowing Water
溪聲盡是廣長舌	The Sounds of the Creeks are All the Broad and Long Tongue [of Dharma]
溫厚	Gentle and Magnanimous
溫故知新	Review the Old to Learn the New
溫暧人間	Bring Warmth to the World
照心之鏡	The Mirror of Reflecting the Mind
照心見性	Recognize the Mind and See One’s True Nature
照見五蘊皆空	Realize that the Five Skandhas are All Empty
照顧當下	Be Mindful of the Present Moment 
照顧腳下	Be Mindful of Our Underfoot
獅子吼	A  Lion’s Roar
當人如己	Treat Others As You Treat Yourself
當下	In the Here and Now
當仁不讓	Do Not Fall Behind in Showing Benevolence
當然如是	Matter of Course
節物利眾	Conserve Your Resources For the Benefit of Others
義正品高	Be Righteous and Noble
義正道慈(佛光大學校訓)	Righteousness, Uprightness, Virtue, and Compassion (Motto of Fo Guang University)
義光照耀	Illuminating Light of Righteousness
聖手仁心	A Sage's Hand and Benevolent Mind
聖守仁心	The Sage Protect the Kindhearted
萬水千山	Crossing Rivers and Mountains
萬世一時	Ten Thousand Affairs in a Moment
萬古長青	Eternal and Evergreen
萬古晴空	Sunny Sky Across the Ages
萬如	The Thousand Thusnesses
萬年青	Evergreen
萬佛一心	All Buddhas are of One Mind
萬里晴空	Vast Clear Sky
萬里無雲	Cloudless Sky
萬里雲開	Dispersion of Ten Thousand Miles of Clouds
萬事吉祥	Auspiciousness for All
萬事如意	All Wishes Fulfilled
萬事成全	Support Every Good Accomplishment
萬事皆好	Everything Is Well Accomplished
萬事寬心	Remain Broadminded for Everything
萬法一心	All Dharmas Are in One Mind
萬法一如	All Dharmas Are The Same
萬法心生	The Mind Produces All Dharmas
萬法唯心	All Phenomena Are Created by the Mind
萬法歸心	All Dharmas Come From the Mind
萬家生佛	Buddha is in All Families
萬家生春	Springful Joy in all Families
萬家喜慶	Joy and Celebration in all Families
萬象興隆	Prosperity for All
萬福	Infinite Blessings
萬福家門	A Family of Boundless Blessings
萬福莊嚴	Boundless Fortune and Solemnity
萬緣自發	All Affinities Arise from One’s Initiative
落實人生	A Life of Practicality
補拙	Sincere and Honest
誠信	Sincerity and Honesty
誠信為本	Credibility and Honor are the Basis
誠敬為本	Credibility and Respect are the Basis
路在腳下	The Path Is Under Our Feet
道元性海	Origin of the Path and Ocean of True Nature
道心	Aspirations for the Way
道心有恆	Persistence in the Path
道心福人	A Blessed One Has Aspirations for the Way
道由心生	The Path is Found Within the Mind
道在天下	The Path is in This World
道在心中	The Path is in the Mind
道在明心	The Way Lies in a Clear Mind
道在當下	The Path is in the Present Moment
道在腳下	The Path Is Under Our Feet
道如也	The Way Is As Such
道行天下	The Way Extends Across the World
道念	A Mind of Cultivation
道明	Clarity of the Way
道法自然	The Way and the Dharma are Thus Natural
道法為友	Regard the Way and Dharma as Your Companions
道法為侶	Regard the Way and Dharma as Your Companion
道為根本	The Path as the Root of Everything
道風	Style of the Way
道海	Ocean of the Way
道情法愛	Friendship for the Path, Love for the Truth
道無古今，悟在當下	The Way has No Past or Present, Enlightenment is Attained in the Present Moment
道源性海	Origin of the Path and Ocean of True Nature
道義	Moral and Righteous
道德圓明四海平	One of Good Moral Brings Peace to the World
随他去	Let It Be
境由心造	Circumstances are a Result of the Mind
境隨心轉	Let External Conditions Turn with the Mind
壽比山河	Longevity Like That of the Mountains and Rivers
實事求是	Be Objective
實相妙理	The Wonderful Truth of Reality
寧靜	Serenity
寧靜致遠	Still Water Runs Deep
徹悟人情	Gain a Thorough Understanding to the Ways of the People
徹悟古今	Gain a Thorough Understanding of the Past and Present
慚愧	Shamefulness
慚愧之美	The Beauty in a Sense of Shame
慚愧為美	Shame Is a Virtue
摸得人心一樣平	To Smooth Out the Hearts of People as Equals
槐樹擎天	Giant Pagoda Tree
滴水之恩，湧泉以報	Repay the favor of a water drop with a whole fountain
滿口芳香	A Mouthful of Fragrance
滿心歡喜	A Mind Full of Happiness
滿懷謙沖	Be Extremely Modest
盡心盡力	Making All Possible Efforts
盡善盡美	Perfection and Flawlessness
福人	A Blessed One
福山智水	Mountain of Merits and Water of Wisdom
福山慧海	Mountain of Merits and Ocean of Wisdom
福田	The Field of Merits
福由心生	Merit Comes From the Heart
福全	Complete in Blessing
福地安住	Abiding in the Land of Merits
福至心靈	Fortunate Blessings Have Come to the Mind
福來	Blessing Has Come
福到	Fortunate Blessings Have Come
福居	A Blessed Abode
福門之家	Home of Fortunes
福厚	Profound Blessings
福厚人家	A Family of Profound Blessings
福星	A Prosperous Star
福星高照	A Prosperous Star Shining High Above
福海	Ocean of Prosperity
福海流長	The Eternal Ocean of Blessings
福海無量	Boundless Ocean of Fortune
福海福人	An Ocean of Blessing
福從心生	Fortune Arises From the Mind
福喜	Merit and Joy
福報	Blessings
福智人	Blessed and Wise One
福智心生	A Mind of Merit and Wisdom Arises
福智呈祥	Merit and Wisdom Manifest Auspiciousness
福智具足	Attainment of Both Blessings and Wisdom
福智海	Ocean of Merit and Wisdom
福智無量	Boundless Blessings and Wisdom
福滿人間	A World Filled With Good Fortune
福滿家門	A Family Filled With Fortune
福聚如海	An Ocean of Blessings
福聚海無量	Accumulation of Merits as Boundless as the Ocean
福德人	A Virtuous Person
福德人生	Life of Blessings and Virtue
福德人家	A Family of Blessings and Virtue
福德天下	Fortune and Virtue for All
福德因緣	Blessing, Virtue, and the Right Causes and Conditions
福德如山	Mountainous Virtue and Blessings
福德安康	Fortune, Virtue, Safety, and Health
福德具足	Complete in Merit and Virtue
福德致祥	Fortune and Virtue Bring Auspiciousness
福德家門	Home of Blessings and Merits
福德深廣	Vast and Profound Merits and Virtues
福德傳家	Let Merit and Fortune be the Family Legacy
福慧人	A Person of Fortune and Wisdom
福慧人生	A Life of Fortune and Wisdom
福慧人家	Home of Merit and Wisdom
福慧之家	Home of Virtue and Wisdom
福慧仁心	A Benevolent Mind with Merit and Wisdom
福慧吉祥	Fortune, Wisdom, and Auspicious Blessings
福慧呈祥	Merits and Wisdom Bring Prosperity
福慧具足	Be Equipped With Both Blessings and Wisdom
福慧圓滿	Perfection of Merit and Wisdom
福慧增上	Gain in Merit and Wisdom
福慧雙全	Attainment of Happiness and Wisdom
福慧雙修	Cultivating Merit and Wisdom Simultaneously
福慧雙圓	Perfection of Both Merit and Wisdom
福緣	Conditions for Fortune
福緣安居	Blessings and Peaceful Settlement
福緣俱足	Sufficient Conditions for Fortune
福緣增上	Growing Causes of Blessings
稱心如意	In Accord With One’s Wishes
精進	Be Diligent
精誠所至，玉石為開	Where There is Will, There is a Way
聞思修	Listen, Contemplate, and Practice
與人為善	Kind Intentions for Others
與人為善，從善如流	Kind Intentions for Others, Forge Ahead in Doing What is Right
與佛同行	Walk With the Buddha
與時俱進	Keep Up With the Times
與善人居	Reside With the Virtuous Ones
與道為友	The Way is Your Companion
認識自己	Know Yourself
語如冬陽	Good Words are Like the Warm Winter Sun
語言妙香	Good W ords are L ike the Fragrance of Sweet Perfume
語善心美	Kind Words, Beautiful Heart
說人好話	Speak Well of Others
說真心話，做本份事	Say True Words, Fulfill One's Duty
鳳凰于飛	Phoenixes Flying Side by Side
儉以養廉	Frugality Helps  Nurture Honesty
儉能致富	Frugality Brings Wealth
增上緣	Positive Conditions
增福增慧	Greater Merits, Greater Wisdom
增增日上	Be on the Up-and-Up
寬心	Broadminded
寬心人	Broad-Minded One
寬心大量	A Broad mind With a Great Capacity
寬心自在	A Broad Mind Makes One Carefree
寬心自覺	Open Your Mind for Self Awakening
寬心厚道	Be Broadminded, Honest, and Kind
寬宏	A Magnificently Broad Mind
寬厚	A Broad and Kind Mind
寬厚仁愛	Generosity and Kindness
寬厚心	A Broad and Kind Mind
寬厚包容	Generosity and Tolerance
寬容	Tolerance
寬容為大	Become Great in Being Tolerant
寬恕	Forgiveness
寬恕為心	A Forgiving Mind
寬能養量	A Broadmind Fosters Capacity
廣結善緣	Develop Broad and Good Affinity With Others
廣結善緣，天下為家	Develop Broad and Good Affinity With Others The World as My Home
廣學多聞	Learn and Listen Broadly
德如山	Moutain-like Virtue
德香滿庭	Fragrance of Virtue Fills the Home
慧心巧思	A Wise and Agile Mind
慧巧吉祥	An Auspicious, Wise, and Agile Mind
慧由心起	Wisdom Arises From the Mind
慧由緣生	Wisdom Arises From Conditions
慧海無邊	Boundless Ocean of Wisdom
慧道中流(南華大學校訓)	The Path of Wisdom Lies in the Middle Way (Motto of Nan Hua University)
樂己知命	Accept One’s Own Life Joyfully
樂天知命	Be Optimistic and Satisfied with Life
樂在心中	Have Joy in Heart
樂在眾中	Take Joy in Being a Part of the People
樂善好義	Find Joy In Being Generous and Righteous
潛心	A Devoted Mind
澄明寧湛	Clarity, Tranquility, and Profoundity
澄明寧湛	Clarity and Tranquility, and Profoundity
澄淨光明	Clarity, Purity, and Brightness
緣起中道	Dependant Origination and the Middle Path
緣結十方	Develop Connections With All
諸佛為侶	Buddhas as Friends
諸事成就	Dependant Origination and the Middle Path
諸事圓滿	May All Things Go Perfectly Well
諸根具足	Complete In All Sense Faculties
諸惡莫作	Cease All Unwholesome Deeds
賢良方正	The Virtuous are Upright
賢淑佳媛	Virtuous and Graceful
養心	Nourish the Mind
養心人	Nourisher of the Mind
養志	Foster Determination
養性	Nourish One's Nature
養拙	Nourish Shortcomings
養深積厚	Nourish Depth and Accumulate Experiences
養量	Foster Capacity
養量	Foster Magnanimity
養廉	Nourish Honesty
養道	Foster Virtue
養德	Nurture Morality
養靜	Nurture Peace
奮起飛揚	Rise With Spirit and Soar High
學以致用	Apply What One Has Learnt
學有則明	Learning Helps One Improve
學海無涯	Boundless Sea of Learning
學高為師，德厚為尚	Those with Knowledge Can be Teachers, Those with Virtues Can be nobleness
學習活用	Skillfully Apply Your Knowledge
學愚	Learn to Conceal Your Wisdom
學廣言少	Be Broad in Learning and Few in Words
學廣言低	Learn Broadly and Speak Modestly
學養	Knowledge and Virtue
擔當	Shoulder Responsibilities
擔當	To Shoulder Responsibility
樸實	Down-to-Earth
樹大根深	Tall Trees Have Deep Roots
積善之家	The Family Accumulated to Good Deeds
積善成德	Good Deeds, When Accumulated, Will Eventually Become Moral Virtues
積善迎祥	Accumulation of Virtue Brings Auspiciousness
積德養望	Accumulation of Virtues Fosters a Prestigious Reputation
篤實正經	Be Firm and Serious
篤學不倦	Diligent and Studious
融入眾中	Blend In With the Crowd
融入眾中 成功在望	Blend In With the Crowd, Success is in Sight
融合共處	Coexisting in Harmony
融和無礙	Harmony Has No Obstructions
隨心自在	Carefree As You Wish
隨他去	Let It Be
隨法行	Follow the Dharma
隨遇而安	Remain at Ease Under Any Condition
隨緣生活	Live by Following the Conditions
隨緣自在	Follow Conditions With Perfect Ease
隨緣放下	Follow Conditions and Let Go
隨緣放下，安然自在	Follow Conditions and Let Go, Peaceful and Carefree
靜	Stillness
靜心	Tranquil Mind
靜思	Quiet Contemplation
靜悟	Peaceful Awakening
靜淨	Be Still and Pure
靜境	The State of Stillness
靜慮	Quiet Contemplation
靜默氣和	Silence Brings Harmony
靜默氣和	Calm Silence and Harmonious Mood
默觀	Silent Contemplation
應世仁慈	Face the World With Benevolence and Kindness
應世全宜	Face the World Appropriately
應世全宜	Respond to the World Appropriately
應世無求	Face the World Free of Desires
應世無畏	Face the World Fearlessly
應無所住	In Accordance with Non-Abiding
應無所住 而生其心	Mind Arises In Accordance with Non-Abiding
環保與心保	Environmental and Spiritual Preservation
禪	Chan
禪心	Chan Mind
禪心正覺	Chan Mind and Right Awakening
禪心吉祥	Auspicious Chan Mind
禪心有悟	A Chan Mind Is A Mind of Enlightenment
