reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date
1204,21,1,聖無動尊一字出生八大童子祕要法品,Sheng Wu Dong Zun Yizi Chusheng Ba Da Tongzi Mi Yao Fa Pin ,Acalanatha One Syllable Eight Great Ritual Chapter,,,,,,,,A text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243),"Siddham script is included for the mantras in this text, included within in the 諸儀軌類 wisdom king ritual manuals group (1199–1243).",Buzan college Canon,http://tripitaka.cbeta.org/T21n1204,2016-10-09
1205,21,1,勝軍不動明王四十八使者祕密成就儀軌,Sheng Jun Budong Ming Wang Si Shi Ba Shizhe Mimi Chengjiu Yi Gui ,Acalanātha Vidyārāja and Forty Eight Messengers Secret Victory and Attainment Ritual,遍智,集,Bian Zhi,Compiled,唐,Tang,618-907,"Describes mantras and their merits, images and visualization and the forty eight messengers of Acalanātha, who are protecting deities. ",This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享和元年刊長谷寺藏本 Source: Hase-dera Canon published in the first year of the Kyōwa era [1801-1804].,Hase-dera,http://tripitaka.cbeta.org/T21n1205,2016-10-09
1206,21,1,佛說俱利伽羅大龍勝外道伏陀羅尼經,Fo Shuo Julijialuo Da Long Sheng Wai Dao Fu Tuoluoni Jing ,Dragon King Kulika Overcomes Outsiders Dharani Sutra,,,,,,,,"A short dharani of the Dragon King Kulika, a manifestation of esoteric deity Acalanātha-Vidyārāja.",This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本 Source: Buzan college Canon version published in the Kyōhō era [1716-1736].,Buzan college Canon,http://tripitaka.cbeta.org/T21n1206,2016-10-09
1207,21,1,說矩里迦龍王像法,Shuo JulijiaLong Wang Xiang Fa ,Dragon King Kulika Image Ritual,,,,,,,,See 1206.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本 Source: Buzan college Canon version published in the Kyōhō era [1716-1736].,Buzan college Canon,http://tripitaka.cbeta.org/T21n1207,2016-10-09
1208,21,1,俱力迦羅龍王儀軌,Julijialuo Long Wang Yi Gui ,Dragon King Kulika Ritual,金剛智,譯,Vajrabodhi,Translated,唐,Tang,618-907,See 1206. This text includes Siddhaṃ script for the mantras.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: 平安時代寫東寺寶菩提院三密藏藏本 Tō-ji Hōbodai-in Sanmitsu Canon manuscript, Heian Period [794-1192].",Sanmitsu Canon,http://tripitaka.cbeta.org/T21n1208,2016-10-09
1209,21,1,金剛頂瑜伽降三世成就極深密門,Jingang Ding Yujia Jiang San Shi Chengjiu Ji Shen Mi Men ,Vajraśekhara-yoga's Very Highest and Secret Methods of Trailokyavijaya Siddhi,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,Mantras and pentasyllabic Chinese verse for the recitation of the Trailokyavijaya Vidyaraja Ritual,"Date 746-774 from Lancaster (2004, 'K 1380')",Korean Canon,http://tripitaka.cbeta.org/T21n1209,2016-10-09
1210,21,1,降三世忿怒明王念誦儀軌,Jiang San Shi Fennu Ming Wang Niansong Yi Gui ,Ritual for Invoking the Wrathful Vidyārāja Trailokyavijaya,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,See 1209.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本, ＜甲＞仁平二年寫高山寺藏本, ＜乙＞平安時代寫仁和寺藏本, ＜丙＞保安三年寫東寺三密藏本 Source: Buzan college Canon version, published Kyōhō era [1716-1736]; 1. Takayama Temple collection manuscript, second year of the Ninpei era [1151-1154]; 2. Ninna-ji collection manuscript, Heian Period [794-1192]; 3. Tō-ji Sanmitsu Canon manuscript, Hōan era [1120-1124].",Buzan college Canon,http://tripitaka.cbeta.org/T21n1210,2016-10-09
1211,21,1,甘露軍荼利菩薩供養念誦成就儀軌,Ganlu Jun Tu Li Pusa Gongyang Niansong Chengjiu Yi Gui ,Ritual for attaining Siddhi through Offerings and Invoking Amṛta-Kuṇdalī Bodhisattva,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,A text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243),"Date 720-774 from Lancaster (2004, 'K 1326')",Korean Canon,http://tripitaka.cbeta.org/T21n1211,2016-10-09
1212,21,1,西方陀羅尼藏中金剛族阿蜜哩多軍吒利法,Xifang Tuoluoni Cang Zhong Jingang Zu Amiliduojunzhali Fa ,Western Dhāraṇī Matrix Vajra Amṛitakuṇḍali Ritual,海雲,記,Hai Yun,Recorded,唐,Tang,618-907,A text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243),This text does not appear in the Korean Canon. A Taishō footnote for this text reads: 大正元年刊 Published in the first year of the Taishō era [1912-1926].,,http://tripitaka.cbeta.org/T21n1212,2016-10-09
1213,21,1,千臂軍荼利梵字真言,Qian Bi Jun Tu Li Fan Zi Zhenyan ,Thousand Arm Kundali Sanskrit Mantra,義操,記,Yi Cao,Recorded,唐,Tang,618-907,Siddham script for the mantra.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞石山寺藏古寫本 Source: Ishiyama-dera collection old manuscript.,Ishiyama-dera,http://tripitaka.cbeta.org/T21n1213,2016-10-09
1214,21,1,聖閻曼德迦威怒王立成大神驗念誦法,shèng yán màn dé jiā wēi nù wáng lì chéng dà shén yàn niànsòng fǎ,"Recitation and Recollection Methods for Establishing the Great Divine Signs of the Wrathful King, the Sage Yamantaka ",不空,譯,Amoghavajra,Translated,唐,Tang,720-774,"The text is a ritual guide for ahbicara rites, including homa or fire ritual. It describes Yamantaka, a manifestation of Mahesvara, an appropriation of Siva, and how to invoke him with the ritual. The text also describes how to curse enemies with disease and death. These are similar or borrowed from Vedic rites.","Date 720-774 from Lancaster (2004, 'K 1351')",Korean Canon,http://tripitaka.cbeta.org/T21n1214,2016-10-09
1215,21,1,大乘方廣曼殊室利菩薩華嚴本教閻曼德迦忿怒王真言大威德儀軌品,Dasheng Fangguang Manshushili Pusa Huayan Ben Jiao Yan Man De Jia Fennu Wang Zhenyan Da Wei De Yi Gui Pin ,Chapter of the Ritual for the Manjusri Bodhisattva Garland Yamantaka Great Teaching of the Mantra for the Wrathful King,,,,,,,,The Buddha speaks with Mañjuśrī Bodhisattva and then recites the Yamāntaka Mantra.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜元＞麗本, ＜甲＞黄檗版淨嚴等加筆本 Source: Korean Canon; 1. Ōbaku Canon with annotations by Jōgon.",Korean Canon,http://tripitaka.cbeta.org/T21n1215,2016-10-09
1216,21,1,大方廣曼殊室利童真菩薩華嚴本教讚閻曼德迦忿怒王真言阿毘遮嚕迦儀軌品,Dafangguang Manshushili Tong Zhen Pusa Huayan Ben Jiao Zan Yan Man De Jia Fennu Wang Zhenyan A Pi Zhe Lu Jia Yi Gui Pin ,Chapter of the Ritual for the Manjusri Bodhisattva Garland Yamantaka Great Teaching of the Mantra for Abhicaraka,,,,,,,,See T 1215.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜元＞麗本, ＜甲＞黄檗版淨嚴等加筆本 Source: Korean Canon; 1. Ōbaku Canon with annotations by Jōgon.",Korean Canon,http://tripitaka.cbeta.org/T21n1216,2016-10-09
1217,21,3,佛說妙吉祥最勝根本大教經,Fo Shuo Miao Jixiang Zui Sheng Genben Da Jiao Jing,Krodhavijayakalpaguhyatantra,法賢,譯,Faxian,Translated,宋,Song,989-999,A text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243),"Sanskrit title and date 989-999 from Lancaster (2004, 'K 1208')",Korean Canon,http://tripitaka.cbeta.org/T21n1217,2016-10-09
1218,21,1,文殊師利耶曼德迦呪法,Wenshushili Yemandejia Zhou Fa,Yamāntaka Mantra Ritual,宗叡,將來,Shūei,Brought,唐,Tang,618-907,See T 1215.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞平安時代寫東寺寶菩提院三密藏藏本 Source: Tō-ji Hōbodai-in Sanmitsu Canon manuscript, Heian Period [794-1192].",Sanmitsu Canon,http://tripitaka.cbeta.org/T21n1218,2016-10-09
1219,21,1,曼殊室利焰曼德迦萬愛祕術如意法,Manshushili Yan Man De Jia Wan Ai Mi Shu Ruyi Fa ,Wish Fulfilling Ritual from the Secret Methods of the Immeasurablly Compassionate Mañjuśrī-Yamāntaka,一行,撰,Yi Xing,Compiled,唐,Tang,618-907,"An esoteric ritual relating to Yamantaka with six heads, six arms, and six feet riding a water buffalo. The text contains a description of a mandala and images.","This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞保元二年寫高山寺藏本 Source: Takayama Temple collection manuscript, second year of the Hōgen era [1156-1159].",Takayama Temple,http://tripitaka.cbeta.org/T21n1219,2016-10-09
1220,21,1,金剛藥叉瞋怒王息災大威神驗念誦儀軌,Jingang Yaocha Chen Nu Wang Xi Zai Da Weishen Yan Niansong Yi Gui ,,金剛智,譯,Vajrabodhi,Translated,唐,Tang,618-907,A text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243),"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豐山大學藏本, ＜甲＞寛治四年寫仁和寺藏本, ＜乙＞東寺三密藏古寫本 Source: Buzan college Canon version, published Kyōhō era [1716-1736]; 1. Ninna-ji collection manuscript, fourth year of the Kanji reign; 2. Tō-ji Sanmitsu Canon old manuscript.",Buzan college Canon,http://tripitaka.cbeta.org/T21n1220,2016-10-09
1221,21,1,青色大金剛藥叉辟鬼魔法,Qingse Da Jingang Yaocha Pi Gui Mofa ,,空蜝,述,Kong Qi,Narrated,唐,Tang,618-907,Includes images and Siddham script. A text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243).,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞東寺寶菩提院三密藏藏本 Source: Tō-ji Hōbodai-in Sanmitsu Canon version.,Sanmitsu Canon,http://tripitaka.cbeta.org/T21n1221,2016-10-09
1222A,21,3,聖迦抳忿怒金剛童子菩薩成就儀軌經,Sheng Jia Ni Fennu Jingang Tongzi Pusa Chengjiu Yi Gui Jing ,,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,Includes Siddham script and Chinese transliteration for mantras. A text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243).,"A Taishō footnote for this text reads: ＜原＞麗本, ＜甲＞享和二年刊長谷寺藏本, ＜乙＞三十帖策子第二十五, ＜丙＞文治五年寫高山寺藏本, ＜丁＞黄檗版淨嚴等加筆本 Source: Korean Canon; 1. Hase-dera Canon version, second year of the Kyōwa era [1801-1804]; 2. Sanjuji sakushi, 25th sheet; 3. Ōbaku Canon with annotations by Jōgon.",Korean Canon,http://tripitaka.cbeta.org/T21n1222a,2016-10-09
1222B,21,3,聖迦柅忿怒金剛童子菩薩成就儀軌經,Sheng Jia Ni Fennu Jingang Tongzi Pusa Chengjiu Yi Gui Jing ,,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,A text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243). See 1222A.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豐山大學藏本 Source: Buzan college Canon published in the Kyōhō era [1716-1736].,Buzan college Canon,http://tripitaka.cbeta.org/T21n1222b,2016-10-09
1223,21,1,佛說無量壽佛化身大忿迅俱摩羅金剛念誦瑜伽儀軌法,Fo Shuo Wuliang Shou Fo Huashen Da Fen Xun Ju Mo Luo Jingang Niansong Yujia Yi Gui Fa ,,金剛智,譯,Vajrabodhi,Translated,唐,Tang,618-907,An esoteric text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243).,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豐山大學藏本 Source: Buzan college Canon published in the Kyōhō era [1716-1736].,Buzan college Canon,http://tripitaka.cbeta.org/T21n1223,2016-10-09
1224,21,1,金剛童子持念經,Jingang Tongzi Chi Nian Jing ,Vajrakumara Liturgy,,,,,,,,An esoteric text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243).,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞歴應三年寫東寺寶菩提院三密藏藏本 Source: Tō-ji Hōbodai-in Sanmitsu Canon, third year of the Ryakuō era [1338-1342].",Sanmitsu Canon,http://tripitaka.cbeta.org/T21n1224,2016-10-09
1225,21,1,大威怒烏芻澁麼儀軌經,Da Wei Nu Wu Chu Se Me Yi Gui Jing ,Krodha Mahābala Ucchuṣma Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,An esoteric text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243).,"Date 720-774 from Lancaster (2004, 'K 1356')",Korean Canon,http://tripitaka.cbeta.org/T21n1225,2016-10-09
1226,21,1,烏芻澁明王儀軌梵字,Wu Chu Se Ming Wang Yi Gui Fan Zi ,Wisdom King Ucchusma Sanskrit Liturgy,空海,請來,Kūkai,Requested,唐,Tang,618-907,Siddham text for a ritual in the 諸儀軌類 wisdom king ritual group (1199–1243).,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: 平安時代淳祐寫石山寺藏本 Ishiyama-dera collection, manuscript by Shunnyū, Heian Period [794-1192].",Ishiyama-dera,http://tripitaka.cbeta.org/T21n1226,2016-10-09
1227,21,3,大威力烏樞瑟摩明王經,Da Weili Wu Shu Se Mo Ming Wang Jing,Mahābalavajrakrodhasūtra,阿質達霰,譯,Ajitasena,Translated,唐,Tang,732,An esoteric text in the 諸儀軌類 wisdom king ritual manuals group (1199–1243).,"Sanskrit title and date 732 from Lancaster (2004, 'K 1266')",Korean Canon,http://tripitaka.cbeta.org/T21n1227,2016-10-09
1228,21,1,穢跡金剛說神通大滿陀羅尼法術靈要門,Hui Ji Jingang Shuo Shentong Da Man Tuoluoni Fa Shu Ling Yao Men ,Ucchuṣma Teaches the Supernatural Powers of Dharani Magic,阿質達霰,譯,Ajitasena,Translated,唐,Tang,732,An esoteric text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243).,"Date 732 from Lancaster (2004, 'K 1265')",Korean Canon,http://tripitaka.cbeta.org/T21n1228,2016-10-09
1229,21,1,穢跡金剛禁百變法經,Hui Ji Jingang Jin Bai Bianfa Jing ,Sutra of Hundred Transformations Skills of Ucchuṣma,阿質達霰,譯,Ajitasena,Translated,唐,Tang,732,Contains images of 護身符 protective talismans. An esoteric text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243).,"Date 732 from Lancaster (2004, 'K 1264')",Korean Canon,http://tripitaka.cbeta.org/T21n1229,2016-10-09
1230,21,1,佛說大輪金剛總持陀羅尼經,Fo Shuo Da Lun Jingang Zong Chi Tuoluoni Jing,Mahacakra Vajradhara Dharani Sutra,,,,,,,,An esoteric text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243).,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞寛延二年刊豐山大學藏本 Source: Buzan college Canon version, second year of the Kan'en era [1748-1751].",Buzan college Canon,http://tripitaka.cbeta.org/T21n1230,2016-10-09
1231,21,1,大輪金剛修行悉地成就及供養法,Da Lun Jingang Xiuxing Xi Di Chengjiu Ji Gongyang Fa,Mahacakravajri Cultivation of Siddhi Accomplishment and Offering Ritual,,,,,,,,An esoteric text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243).,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞寛延二年刊豐山大學藏本 Source: Buzan college Canon version, second year of the Kan'en era [1748-1751].",Buzan college Canon,http://tripitaka.cbeta.org/T21n1231,2016-10-09
1232,21,1,播般曩結使波金剛念誦儀,Bo Ban Nang Jieshi Bo Jingang Niansong Yi ,Padanaksipa Vajra Liturgy,,,,,,,,An esoteric text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243).,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads:＜原＞享保年間刊豐山大學藏本, ＜甲＞平安時代寫仁和寺藏本 Source: Buzan college Canon version, Kyōhō era [1716-1736]; 1. Ninna-ji collection manuscript, Heian Period [794-1192].",Buzan college Canon,http://tripitaka.cbeta.org/T21n1232,2016-10-09
1233,21,1,佛說無能勝大明王陀羅尼經,Fo Shuo Wu Neng Sheng Da Ming Wang Tuoluoni Jing ,Aparājita Vidyaraja Dharani Sutra,法天,譯,Fa Tian,Translated,宋,Song,984,An esoteric text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243).,"Date 984 from Lancaster (2004, 'K 1110')",Korean Canon,http://tripitaka.cbeta.org/T21n1233,2016-10-09
1234,21,1,無能勝大明陀羅尼經,Wu Neng Sheng Da Ming Tuoluoni Jing,Sarvadurgatipariśodhanauṣṇīṣavijayadhāraṇisūtra,法天,譯,Fa Tian,Translated,宋,Song,973,An esoteric text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243).,"Sanskrit title and date 973 from Lancaster (Lancaster 2004, 'K 1136')",Korean Canon,http://tripitaka.cbeta.org/T21n1234,2016-10-09
1235,21,1,無能勝大明心陀羅尼經,Wu Neng Sheng Da Ming Xin Tuoluoni Jing,Sarvadurgatipariśodhanauṣṇīṣavijayadhāraṇisūtra,法天,譯,Fa Tian,Translated,宋,Song,973,See T 1234.,"Sanskrit title and date 973 from Lancaster (2004, 'K 1130')",Korean Canon,http://tripitaka.cbeta.org/T21n1235,2016-10-09
1236,21,1,聖無能勝金剛火陀羅尼經,Sheng Wu Neng Sheng Jingang Huo Tuoluoni Jing ,,法天,譯,Fa Tian,Translated,宋,Song,986-987,An esoteric text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243).,"Date 986-987 from Lancaster (2004, 'K 1157')",Korean Canon,http://tripitaka.cbeta.org/T21n1236,2016-10-09
1237,21,1,阿吒婆拘鬼神大將上佛陀羅尼神呪經,A Zha Po Ju Guishen Da Jiang Shang Fotuo Luo Ni Shen Zhou Jing,Spirit Commander Atavaka makes an Offering to the Buddha Dharani Sacred Spell Sutra,失,譯,Unknown,Translated,,,502-557,A collection of dhāraṇīs overlapping with T 1332.,"Date 502-557 from Lancaster (2004, 'K 442').",Korean Canon,http://tripitaka.cbeta.org/T21n1237,2016-10-09
1238,21,1,阿吒婆𤘽鬼神大將上佛陀羅尼經,A Zha Po Niu Ju Guishen Da Jiang Shang Fotuo Luo Ni Jing ,Spirit Commander Atavaka makes an Offering to the Buddha Dharani Sutra,失,譯,Unknown,Translated,,,,"A collection of dhāraṇīs, expanded from T 1237, incorporating some from T 1332.  Includes images of mandalas and talismans as well as Siddham script.","This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞寶暦二年刊豐山大學藏本, ＜甲＞高山寺藏古寫本, ＜乙＞黄檗版淨嚴等加筆本 Source: Buzan college Canon version published second year of the Hōreki era [1750-1765]; 1. Takayama Temple collection old manuscript; 2. Ōbaku Canon with annotations by Jōgon.",Buzan college Canon,http://tripitaka.cbeta.org/T21n1238,2016-10-09
1239,21,3,阿吒薄俱元帥大將上佛陀羅尼經修行儀軌,A Zha Bao Ju Yuan Shuai Da Jiang Shang Fotuo Luo Ni Jing Xiuxing Yi Gui ,Commander Atavaka makes an Offering to the Buddha Dharani Liturgy,善無畏,譯,Śubhakarasiṃha,Translated,唐,Tang,618-907,Siddham script and Chinese transliteration for maantras and vidyārāja ritual text related to the vidyārāja Atavaka.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞黄檗版淨嚴等加筆本, ＜甲＞高山寺藏古寫本, ＜乙＞石山寺藏古寫本 Source: Ōbaku Canon with annotations by Jōgon; 1. Takayama Temple collection old manuscript; 2. Ishiyama-dera collection old manuscript.",Ōbaku Canon,http://tripitaka.cbeta.org/T21n1239,2016-10-09
1240,21,1,阿吒薄牛句付囑呪,A Zha Bao Niu Ju Chouyou Zhou ,,,,,,,,,An esoteric text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243).,"The character represented as [牛*句] in CBETA in the title is expressed with Unicode 𤘽 hǒu. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本, ＜甲＞高山寺藏古寫本 Source: Buzan college Canon version published Kyōhō era [1716-1736]; 1. Takayama Temple collection old manuscript.",Buzan college Canon,http://tripitaka.cbeta.org/T21n1240,2016-10-09
1241,21,1,伽馱金剛真言,Jiaduo Jingang Zhenyan ,Gadā Vajra Mantra,,,,,,,,An esoteric text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243).,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞三十帖策子第二十六, ＜甲＞黄檗版淨嚴等加筆本 Source: Sanjuji sakushi, sheet 26.",Sanjuji sakushi,http://tripitaka.cbeta.org/T21n1241,2016-10-09
1242,21,1,佛說妙吉祥瑜伽大教金剛陪囉嚩輪觀想成就儀軌經,Fo Shuo Miao Jixiang Yujia Da Jiao Jingang Pei Luo Fu Lun Guan Xiang Chengjiu Yi Gui Jing,Vajrabhairava,法賢,譯,Faxian,Translated,宋,Song,989-999,An esoteric text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243).,"Sanskrit title and date 989-999 from Lancaster (2004, 'K 1214')",Korean Canon,http://tripitaka.cbeta.org/T21n1242,2016-10-09
1243,21,2,佛說出生一切如來法眼遍照大力明王經,Fo Shuo Chusheng Yiqie Rulai Fayan Bian Zhao Dali Ming Wang Jing,Mahābalasūtra,法護,譯,Dharmarakṣa,Translated,宋,Song,933,An esoteric text in the 諸儀軌類 vidyārāja ritual manuals group (1199–1243).,"Sanskrit title and date 933 from Lancaster (2004, 'K 1097')",Korean Canon,http://tripitaka.cbeta.org/T21n1243,2016-10-09
1244,21,1,毘沙門天王經,Pishamen Tian Wang Jing,Ātānātīyasūtra,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,This text includes Siddhaṃ script and Chinese transliteration for a mantra as well as ritual instructions.,"Sanskrit title and date 720-774 from Lancaster (2004, 'K 1307')",Korean Canon,http://tripitaka.cbeta.org/T21n1244,2016-10-09
1245,21,1,佛說毘沙門天王經,Fo Shuo Pishamen Tian Wang Jing,Vaisravana Sutra as Spoken by the Buddha,法天,譯,Fa Tian,Translated,宋,Song,990,"Vaisravana and innumerable yaksas worship the Buddha. Empowered by the Buddha, Vaisravana recites mantras.","Sanskrit title and date 990 from Lancaster (2004, 'K 1185')",Korean Canon,http://tripitaka.cbeta.org/T21n1245,2016-10-09
1246,21,1,摩訶吠室囉末那野提婆喝囉闍陀羅尼儀軌,Mohe Fei Shi Luo Mona Ye Ti Po He Luo She Tuoluoni Yi Gui ,,般若斫羯囉,譯,Bore Zhuojieluo,Translated,唐,Tang,618-907,An esoteric text in the 諸天等儀軌類 deva ritual manuals group (1244–1330).,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: 三十帖策子第二十二, ＜甲＞高山寺藏古寫本, ＜乙＞寛喜三年寫寶壽院藏本, ＜丙＞黄檗版淨嚴等加筆本 Sanjuji sakushi, sheet 26; 2. Takayama Temple collection old manuscript; 3. Ōbaku Canon with annotations by Jōgon.",Sanjuji sakushi,http://tripitaka.cbeta.org/T21n1246,2016-10-09
1247,21,1,北方毘沙門天王隨軍護法儀軌,Bei Fang Pishamen Tian Wang Sui Jun Hufa Yi Gui ,Vaisravana of the North Defends the Dharma with his Army,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,An esoteric text in the 諸天等儀軌類 deva ritual manuals group (1244–1330).,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本 Buzan college Canon version published second year of the Kyōhō era [1716-1736].,Buzan college Canon,http://tripitaka.cbeta.org/T21n1247,2016-10-09
1248,21,1,北方毘沙門天王隨軍護法真言,Bei Fang Pishamen Tian Wang Sui Jun Hufa Zhenyan ,Vaisravana of the North Defends the Dharma with his Army Mantra,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,This text include Siddham script for a mantra. It is related to similar texts on Vaisravana in the 諸天等儀軌類 deva ritual manuals group (1244–1330).,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享和元年刊長谷寺藏本, ＜甲＞高山寺藏古寫本 Source: Hase-dera Canon version, published first year of the Kyōwa era [1801-1804]; 1. Takayama Temple collection old manuscript.",Hase-dera,http://tripitaka.cbeta.org/T21n1248,2016-10-09
1249,21,1,毘沙門儀軌,Pishamen Yi Gui ,Vaisravana Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,An esoteric text in the 諸天等儀軌類 deva ritual manuals group (1244–1330).,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享和元年刊長谷寺藏本, 原本校異中略符〔イ〕者龍肝師校合秀陽闍梨本, 龍肝師校合板橋日曜寺本, ＜甲＞高山寺藏古寫本 Source: Hase-dera Canon version, published first year of the Kyōwa era [1801-1804], some characters are missing the stroke イ ...; 1. Takayama Temple collection old manuscript.",Hase-dera,http://tripitaka.cbeta.org/T21n1249,2016-10-09
1250,21,1,北方毘沙門多聞寶藏天王神妙陀羅尼別行儀軌,Bei Fang Pishamen Duo Wen Baozang Tianwang Shen Miao Tuoluoni Bie Xing Yi Gui ,Vaisravana of the North Wonderful Dharani and Other Cultivation Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,Siddham script as well as Chinese transliteration is given for the mantras in this esoteric text in the 諸天等儀軌類 deva ritual manuals group (1244–1330).,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞大日本續藏經, ＜甲＞平安時代寫仁和寺藏本, ＜乙＞延久六年寫本 Source: Dai Nippon Zokuzōkyō [Supplementary Buddhist Canon]; 1. Heian Period [794－1192] manuscript from the Ninna-ji collection; 2. manuscript, 6th year of the Enkyū era [1069-1074].",Dai Nippon Zokuzōkyō,http://tripitaka.cbeta.org/T21n1250,2016-10-09
1251,21,3,吽迦陀野儀軌,Hong Jia Tuo Ye Yi Gui ,,金剛智,譯,Vajrabodhi,Translated,唐,Tang,618-907,An esoteric text in the 諸天等儀軌類 deva ritual manuals group (1244–1330).,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: 久安三年寫東寺寶菩提院　密藏藏本 Tō-ji Hōbodai-in Sanmitsu Canon manuscript, third year of the Kyūan era [1145-1151].",Sanmitsu Canon,http://tripitaka.cbeta.org/T21n1251,2016-10-09
1252A,21,1,佛說大吉祥天女十二名號經,Fo Shuo Da Jixiang Tian Nu Shi Er Minghao Jing,Mahāśrīsūtra,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,An esoteric text in the 諸天等儀軌類 deva ritual manuals group (1244–1330).,A Taishō footnote for this text reads: ＜原＞麗本 Source: Korean Canon.,Korean Canon,http://tripitaka.cbeta.org/T21n1252a,2016-10-09
1252B,21,1,佛說大吉祥天女十二名號經,Fo Shuo Da Jixiang Tian Nu Shi Er Minghao Jing,Mahāśrīsūtra,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,Siddham for a mantra is included with this esoteric text from the 諸天等儀軌類 deva ritual manuals group (1244–1330).,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞明本, ＜甲＞黄檗版淨嚴等加筆本, 此經與麗本大異故別載 Source: Ming Canon; 1. Ōbaku Canon with annotations by Jōgon. This version differs considerably from the version in the Korean Canon.",Ming Canon,http://tripitaka.cbeta.org/T21n1252b,2016-10-09
